12;LEOES STA LUCRECIA;JUVENTUDE GUALTAR;17-12-2023
12;EU BARREIRO;AM BESTEIROS;17-12-2023
12;A.C.R.FISCAL;GD PENELA;17-12-2023			
13;ACRD MALMEQUERES;BARROS FC;07-01-2024
13;ESTRELAS DE FERREIROS;ARC CAIRES;07-01-2024
13;IMPARAVEIS FC;FOLGA;07-01-2024
13;FOLGA;UF GARAPOA;07-01-2024
13;JACARES FC;LEOES STA LUCRECIA;07-01-2024
13;JUVENTUDE GUALTAR;EU BARREIRO;07-01-2024
13;AM BESTEIROS;A.C.R.FISCAL;07-01-2024
13;UNIAO DA RODOVIA;GD PENELA;07-01-2024
14;UNIAO DA RODOVIA;BARROS FC;14-01-2024
14;ARC CAIRES;ACRD MALMEQUERES;14-01-2024
14;FOLGA;ESTRELAS DE FERREIROS;14-01-2024
14;UF GARAPOA;IMPARAVEIS FC;14-01-2024
14;LEOES STA LUCRECIA;FOLGA;14-01-2024
14;EU BARREIRO;JACARES FC;14-01-2024
14;A.C.R.FISCAL;JUVENTUDE GUALTAR;14-01-2024
14;GD PENELA;AM BESTEIROS;14-01-2024			
15;BARROS FC;ARC CAIRES;21-01-2024
15;ACRD MALMEQUERES;FOLGA;21-01-2024
15;ESTRELAS DE FERREIROS;UF GARAPOA;21-01-2024
15;IMPARAVEIS FC;LEOES STA LUCRECIA;21-01-2024
15;FOLGA;EU BARREIRO;21-01-2024
15;JACARES FC;A.C.R.FISCAL;21-01-2024
15;JUVENTUDE GUALTAR;GD PENELA;21-01-2024
15;AM BESTEIROS;UNIAO DA RODOVIA;21-01-2024			
16;JUVENTUDE GUALTAR;AM BESTEIROS;04-02-2024
16;JACARES FC;GD PENELA;04-02-2024
16;FOLGA;A.C.R.FISCAL;04-02-2024
16;IMPARAVEIS FC;EU BARREIRO;04-02-2024
16;ESTRELAS DE FERREIROS;LEOES STA LUCRECIA;04-02-2024
16;ACRD MALMEQUERES;UF GARAPOA;04-02-2024
16;BARROS FC;FOLGA;04-02-2024
16;ARC CAIRES;UNIAO DA RODOVIA;04-02-2024			
17;UNIAO DA RODOVIA;JUVENTUDE GUALTAR;11-02-2024
17;AM BESTEIROS;JACARES FC;11-02-2024
17;GD PENELA;FOLGA;11-02-2024
17;A.C.R.FISCAL;IMPARAVEIS FC;11-02-2024
17;EU BARREIRO;ESTRELAS DE FERREIROS;11-02-2024
17;LEOES STA LUCRECIA;ACRD MALMEQUERES;11-02-2024
17;UF GARAPOA;BARROS FC;11-02-2024
17;FOLGA;ARC CAIRES;11-02-2024			
18;JACARES FC;JUVENTUDE GUALTAR;18-02-2024
18;FOLGA;AM BESTEIROS;18-02-2024
18;IMPARAVEIS FC;GD PENELA;18-02-2024
18;ESTRELAS DE FERREIROS;A.C.R.FISCAL;18-02-2024
