11;BARROS F.C.;LEÕES STA LUCRÉCIA;11-12-2022
11;G.D. PENELA;FOLGA;11-12-2022
11;U.F. GARAPOA;ESTRELAS DE FERREIROS;11-12-2022
11;JUVENTUDE GUALTAR;JACARÉS F.C.;11-12-2022
12;A.C.R.FISCAL;A.C.R.D. MALMEQUERES;18-12-2022
12;JACARÉS F.C.;U.F. GARAPOA;18-12-2022
12;LEÕES STA LUCRÉCIA;FOLGA;18-12-2022
12;UNIÃO DA RODOVIA;A.R.C. CAIRES;18-12-2022
12;ESTRELAS DE FERREIROS;G.D. PENELA;18-12-2022
12;FOLGA;BARROS F.C.;18-12-2022
12;E.U. BARREIRO;IMPARÁVEIS F.C.;18-12-2022
12;A.M. BESTEIROS;JUVENTUDE GUALTAR;18-12-2022
13;IMPARÁVEIS F.C.;UNIÃO DA RODOVIA;08-01-2023
13;A.C.R.D. MALMEQUERES;JACARÉS F.C.;08-01-2023
13;A.R.C. CAIRES;A.M. BESTEIROS;08-01-2023
13;ESTRELAS DE FERREIROS;FOLGA;08-01-2023
13;BARROS F.C.;A.C.R.FISCAL;08-01-2023
13;G.D. PENELA;LEÕES STA LUCRÉCIA;08-01-2023
13;U.F. GARAPOA;FOLGA;08-01-2023
13;JUVENTUDE GUALTAR;E.U. BARREIRO;08-01-2023
14;A.C.R.FISCAL;ESTRELAS DE FERREIROS;15-01-2023
14;FOLGA;G.D. PENELA;15-01-2023
14;JACARÉS F.C.;IMPARÁVEIS F.C.;15-01-2023
14;LEÕES STA LUCRÉCIA;A.C.R.D. MALMEQUERES;15-01-2023
14;A.R.C. CAIRES;BARROS F.C.;15-01-2023
14;UNIÃO DA RODOVIA;U.F. GARAPOA;15-01-2023
14;FOLGA;JUVENTUDE GUALTAR;15-01-2023
14;E.U. BARREIRO;A.M. BESTEIROS;15-01-2023
15;IMPARÁVEIS F.C.;FOLGA;22-01-2023
15;A.C.R.D. MALMEQUERES;FOLGA;22-01-2023
15;ESTRELAS DE FERREIROS;JACARÉS F.C.;22-01-2023
15;BARROS F.C.;E.U. BARREIRO;22-01-2023
15;G.D. PENELA;A.R.C. CAIRES;22-01-2023
15;A.M. BESTEIROS;LEÕES STA LUCRÉCIA;22-01-2023
15;U.F. GARAPOA;A.C.R.FISCAL;22-01-2023
15;JUVENTUDE GUALTAR;UNIÃO DA RODOVIA;22-01-2023
16;A.R.C. CAIRES;A.C.R.D. MALMEQUERES;05-02-2023
16;UNIÃO DA RODOVIA;LEÕES STA LUCRÉCIA;05-02-2023
16;E.U. BARREIRO;ESTRELAS DE FERREIROS;05-02-2023
16;JACARÉS F.C.;FOLGA;05-02-2023
16;G.D. PENELA;BARROS F.C.;05-02-2023
16;A.C.R.FISCAL;A.M. BESTEIROS;05-02-2023
16;IMPARÁVEIS F.C.;U.F. GARAPOA;05-02-2023
16;FOLGA;JUVENTUDE GUALTAR;05-02-2023
17;FOLGA;A.C.R.FISCAL;12-02-2023
17;LEÕES STA LUCRÉCIA;IMPARÁVEIS F.C.;12-02-2023
17;BARROS F.C.;FOLGA;12-02-2023
17;A.M. BESTEIROS;JACARÉS F.C.;12-02-2023
17;JUVENTUDE GUALTAR;A.R.C. CAIRES;12-02-2023
17;ESTRELAS DE FERREIROS;UNIÃO DA RODOVIA;12-02-2023
17;U.F. GARAPOA;G.D. PENELA;12-02-2023
17;A.C.R.D. MALMEQUERES;E.U. BARREIRO;12-02-2023
18;G.D. PENELA;A.C.R.D. MALMEQUERES;19-02-2023
18;A.C.R.FISCAL;JACARÉS F.C.;19-02-2023
18;A.R.C. CAIRES;LEÕES STA LUCRÉCIA;19-02-2023
18;FOLGA;ESTRELAS DE FERREIROS;19-02-2023
18;E.U. BARREIRO;FOLGA;19-02-2023
18;IMPARÁVEIS F.C.;BARROS F.C.;19-02-2023
18;UNIÃO DA RODOVIA;A.M. BESTEIROS;19-02-2023
18;U.F. GARAPOA;JUVENTUDE GUALTAR;19-02-2023
19;ESTRELAS DE FERREIROS;IMPARÁVEIS F.C.;05-03-2023
19;FOLGA;FOLGA;05-03-2023
19;A.M. BESTEIROS;A.C.R.D. MALMEQUERES;05-03-2023
19;JACARÉS F.C.;A.R.C. CAIRES;05-03-2023
19;E.U. BARREIRO;UNIÃO DA RODOVIA;05-03-2023
19;A.C.R.FISCAL;G.D. PENELA;05-03-2023
19;BARROS F.C.;U.F. GARAPOA;05-03-2023
19;LEÕES STA LUCRÉCIA;JUVENTUDE GUALTAR;05-03-2023
20;JUVENTUDE GUALTAR;A.C.R.FISCAL;12-03-2023
20;A.R.C. CAIRES;FOLGA;12-03-2023
20;ESTRELAS DE FERREIROS;LEÕES STA LUCRÉCIA;12-03-2023
20;UNIÃO DA RODOVIA;BARROS F.C.;12-03-2023
20;IMPARÁVEIS F.C.;G.D. PENELA;12-03-2023
20;JACARÉS F.C.;E.U. BARREIRO;12-03-2023
20;FOLGA;A.M. BESTEIROS;12-03-2023
20;A.C.R.D. MALMEQUERES;U.F. GARAPOA;12-03-2023
21;A.C.R.D. MALMEQUERES;IMPARÁVEIS F.C.;26-03-2023
21;BARROS F.C.;JACARÉS F.C.;26-03-2023
21;U.F. GARAPOA;A.R.C. CAIRES;26-03-2023
21;FOLGA;UNIÃO DA RODOVIA;26-03-2023
21;A.M. BESTEIROS;ESTRELAS DE FERREIROS;26-03-2023
21;LEÕES STA LUCRÉCIA;FOLGA;26-03-2023
21;A.C.R.FISCAL;E.U. BARREIRO;26-03-2023
21;G.D. PENELA;JUVENTUDE GUALTAR;26-03-2023
22;UNIÃO DA RODOVIA;A.C.R.FISCAL;02-04-2023
22;IMPARÁVEIS F.C.;FOLGA;02-04-2023
22;JUVENTUDE GUALTAR;A.C.R.D. MALMEQUERES;02-04-2023
22;JACARÉS F.C.;LEÕES STA LUCRÉCIA;02-04-2023
22;FOLGA;A.R.C. CAIRES;02-04-2023
22;ESTRELAS DE FERREIROS;BARROS F.C.;02-04-2023
22;A.M. BESTEIROS;G.D. PENELA;02-04-2023
22;E.U. BARREIRO;U.F. GARAPOA;02-04-2023
23;LEÕES STA LUCRÉCIA;A.C.R.FISCAL;16-04-2023
23;JUVENTUDE GUALTAR;IMPARÁVEIS F.C.;16-04-2023
23;UNIÃO DA RODOVIA;JACARÉS F.C.;16-04-2023
23;A.R.C. CAIRES;ESTRELAS DE FERREIROS;16-04-2023
23;U.F. GARAPOA;FOLGA;16-04-2023
23;A.C.R.D. MALMEQUERES;BARROS F.C.;16-04-2023
23;G.D. PENELA;E.U. BARREIRO;16-04-2023
23;FOLGA;A.M. BESTEIROS;16-04-2023
24;A.C.R.FISCAL;FOLGA;23-04-2023
24;ESTRELAS DE FERREIROS;A.C.R.D. MALMEQUERES;23-04-2023
24;E.U. BARREIRO;LEÕES STA LUCRÉCIA;23-04-2023
24;IMPARÁVEIS F.C.;A.R.C. CAIRES;23-04-2023
24;FOLGA;UNIÃO DA RODOVIA;23-04-2023
24;JACARÉS F.C.;G.D. PENELA;23-04-2023
24;A.M. BESTEIROS;U.F. GARAPOA;23-04-2023
24;BARROS F.C.;JUVENTUDE GUALTAR;30-04-2023
25;IMPARÁVEIS F.C.;A.C.R.FISCAL;30-04-2023
25;FOLGA;JACARÉS F.C.;30-04-2023
25;U.F. GARAPOA;LEÕES STA LUCRÉCIA;30-04-2023
25;G.D. PENELA;UNIÃO DA RODOVIA;30-04-2023
25;JUVENTUDE GUALTAR;ESTRELAS DE FERREIROS;30-04-2023
25;A.C.R.D. MALMEQUERES;FOLGA;30-04-2023
25;A.R.C. CAIRES;E.U. BARREIRO;30-04-2023
25;BARROS F.C.;A.M. BESTEIROS;30-04-2023
26;A.M. BESTEIROS;IMPARÁVEIS F.C.;07-05-2023
26;E.U. BARREIRO;FOLGA;07-05-2023
26;UNIÃO DA RODOVIA;A.C.R.D. MALMEQUERES;07-05-2023
26;A.C.R.FISCAL;A.R.C. CAIRES;07-05-2023
26;LEÕES STA LUCRÉCIA;BARROS F.C.;07-05-2023
26;FOLGA;G.D. PENELA;07-05-2023
26;ESTRELAS DE FERREIROS;U.F. GARAPOA;07-05-2023
26;JACARÉS F.C.;JUVENTUDE GUALTAR;07-05-2023
27;A.C.R.D. MALMEQUERES;A.C.R.FISCAL;14-05-2023
27;U.F. GARAPOA;JACARÉS F.C.;14-05-2023
27;FOLGA;LEÕES STA LUCRÉCIA;14-05-2023
27;A.R.C. CAIRES;UNIÃO DA RODOVIA;14-05-2023
27;G.D. PENELA;ESTRELAS DE FERREIROS;14-05-2023
27;BARROS F.C.;FOLGA;14-05-2023
27;IMPARÁVEIS F.C.;E.U. BARREIRO;14-05-2023
27;JUVENTUDE GUALTAR;A.M. BESTEIROS;14-05-2023
28;UNIÃO DA RODOVIA;IMPARÁVEIS F.C.;21-05-2023
28;JACARÉS F.C.;A.C.R.D. MALMEQUERES;21-05-2023
28;A.M. BESTEIROS;A.R.C. CAIRES;21-05-2023
28;FOLGA;ESTRELAS DE FERREIROS;21-05-2023
28;A.C.R.FISCAL;BARROS F.C.;21-05-2023
28;LEÕES STA LUCRÉCIA;G.D. PENELA;21-05-2023
